title,creation_date,medium,department,item_width,item_height,item_depth,classification,full_name,nationality,img_url,value,small_img_url,total
Keith Haring,1984,gelatin silver print,Contemporary Art,23.25,29.25,1.25,photographs,Robert Mapplethorpe,American,https://cmoa-collection-images.s3.amazonaws.com/thing/114327/1.jpg,192.95,https://cmoa-collection-images.s3.amazonaws.com/thing/114327/sizes/1-420.jpg,3859.0
Untitled,1964-1965,oil on canvas,Contemporary Art,60.5,48.25,2.25,paintings,Jo Baer,American,https://cmoa-collection-images.s3.amazonaws.com/thing/231867/2-web.jpg,33.3,https://cmoa-collection-images.s3.amazonaws.com/thing/231867/sizes/2-web-420.jpg,666.0
Snuff bottle: Carved Glass,late 18th century,glass,Decorative Arts and Design,1.5,3.375,1.0,Glass,unknown Chinese,Chinese,https://cmoa-collection-images.s3.amazonaws.com/thing/1486/CMA-79-H.jpg,1.0,https://cmoa-collection-images.s3.amazonaws.com/thing/1486/sizes/CMA-79-H-420.jpg,17.0
Snuff bottle: Carved Glass,late 19th century,glass,Decorative Arts and Design,2.0,2.75,0.75,Glass,unknown Chinese,Chinese,https://cmoa-collection-images.s3.amazonaws.com/thing/1453/CMA-77-H.jpg,1.0,https://cmoa-collection-images.s3.amazonaws.com/thing/1453/sizes/CMA-77-H-420.jpg,17.0
Snuff bottle: Carved Glass,18th century,glass,Decorative Arts and Design,1.25,2.75,1.25,Glass,unknown Chinese,Chinese,https://cmoa-collection-images.s3.amazonaws.com/thing/1503/CMA-80-H.jpg,1.0,https://cmoa-collection-images.s3.amazonaws.com/thing/1503/sizes/CMA-80-H-420.jpg,17.0
Two Cruet Bottles on Stand,c. 1851,rock crystal and gilded copper,Decorative Arts and Design,0.0,0.0,0.0,Glass,Augustus Welby Northmore Pugin|John Hardman & Co.,British|Scottish,https://cmoa-collection-images.s3.amazonaws.com/thing/11111/CMA-2002-20-1-a-c_1.jpg,1.0,https://cmoa-collection-images.s3.amazonaws.com/thing/11111/sizes/CMA-2002-20-1-a-c_1-420.jpg,1.0
Ewer,1864,silver and silver gilt,Decorative Arts and Design,7.0,11.75,4.5,Metals,Alfred Ivory,British,https://cmoa-collection-images.s3.amazonaws.com/thing/15884/34.jpg,1.0,https://cmoa-collection-images.s3.amazonaws.com/thing/15884/sizes/34-420.jpg,16.0
Jug,c. 1870,terracotta with underglaze decoration,Decorative Arts and Design,5.25,8.75,5.438,Ceramics,Christopher Dresser|Watcombe Pottery,British|,https://cmoa-collection-images.s3.amazonaws.com/thing/1584/CMA-2002-21-1-1.jpg,1.0,https://cmoa-collection-images.s3.amazonaws.com/thing/1584/sizes/CMA-2002-21-1-1-420.jpg,3.0
Jug,c. 1880,salt-glazed stoneware,Decorative Arts and Design,3.688,6.625,7.0,Ceramics,Christopher Dresser|W. Brownfield & Sons,British|,https://cmoa-collection-images.s3.amazonaws.com/thing/1585/CMA-2002-21-1-2.jpg,1.0,https://cmoa-collection-images.s3.amazonaws.com/thing/1585/sizes/CMA-2002-21-1-2-420.jpg,3.0
Jug,c. 1885,transfer-printed earthenware,Decorative Arts and Design,5.062,7.75,7.062,Ceramics,Christopher Dresser|Old Hall Earthenware Company Limited,British|British,https://cmoa-collection-images.s3.amazonaws.com/thing/9434/CMA-2002-21-1-3-1.jpg,1.0,https://cmoa-collection-images.s3.amazonaws.com/thing/9434/sizes/CMA-2002-21-1-3-1-420.jpg,13.0
Jug,c. 1885,transfer-printed earthenware,Decorative Arts and Design,4.375,6.75,5.75,Ceramics,Christopher Dresser|Old Hall Earthenware Company Limited,British|British,https://cmoa-collection-images.s3.amazonaws.com/thing/9439/CMA-2002-21-1-3-2.jpg,1.0,https://cmoa-collection-images.s3.amazonaws.com/thing/9439/sizes/CMA-2002-21-1-3-2-420.jpg,13.0
