title,creation_date,medium,department,item_width,item_height,item_depth,classification,full_name,nationality,img_url,value,small_img_url,total
Mallards Away,,etching,Fine Arts,19.25,14.25,0.0,prints,J. D. Knap,American,https://cmoa-collection-images.s3.amazonaws.com/thing/107973/1012717.jpg,83.45,https://cmoa-collection-images.s3.amazonaws.com/thing/107973/sizes/1012717-420.jpg,1669.0
Dawn. The Camel Patrol Setting Out.,1917,etching on paper,Fine Arts,22.0,16.0,0.0,prints,James McBey,Scottish,https://cmoa-collection-images.s3.amazonaws.com/thing/104783/1004562_Image.jpg,1.2,https://cmoa-collection-images.s3.amazonaws.com/thing/104783/sizes/1004562_Image-420.jpg,24.0
(Downtown Street Scene: Dress Shop Window),1950,gelatin silver print,Photography,13.875,10.938,0.0,photographs,Elliott Erwitt,American,https://cmoa-collection-images.s3.amazonaws.com/thing/8686/1025942.jpg,192.95,https://cmoa-collection-images.s3.amazonaws.com/thing/8686/sizes/1025942-420.jpg,3859.0
Buddha and Deities (Buddhist),1860,woodblock print on paper,Fine Arts,7.125,15.063,0.0,prints,unknown Japanese,Japanese,https://cmoa-collection-images.s3.amazonaws.com/thing/99986/1028503.jpg,87.5,https://cmoa-collection-images.s3.amazonaws.com/thing/99986/sizes/1028503-420.jpg,1750.0
(Carnegie Library of Pittsburgh: Pennsylvania Division),no earlier than 1895,gelatin silver print,Photography,10.0,8.0,0.0,photographs,unknown American,American,https://cmoa-collection-images.s3.amazonaws.com/thing/99188/1024299.jpg,192.95,https://cmoa-collection-images.s3.amazonaws.com/thing/99188/sizes/1024299-420.jpg,3859.0
(Industry - Steel Worker and Ingot),c. 1930-1932,gelatin silver print,Photography,10.5,13.375,0.0,photographs,Luke Swank,American,https://cmoa-collection-images.s3.amazonaws.com/thing/9947/1024163.jpg,192.95,https://cmoa-collection-images.s3.amazonaws.com/thing/9947/sizes/1024163-420.jpg,3859.0
Candlestick,c. 1750,paktong,Decorative Arts and Design,4.375,9.25,4.375,lighting devices,"unknown English, Staffordshire",English,https://cmoa-collection-images.s3.amazonaws.com/thing/99873/3685.jpg,1.85,https://cmoa-collection-images.s3.amazonaws.com/thing/99873/sizes/3685-420.jpg,37.0
Paysage-Troupeau de Porcs,1849,etching,Fine Arts,19.25,14.25,0.0,prints,Charles Émile Jacque,French,https://cmoa-collection-images.s3.amazonaws.com/thing/105010/1001165_Image.jpg,37.6,https://cmoa-collection-images.s3.amazonaws.com/thing/105010/sizes/1001165_Image-420.jpg,752.0
Figure Study for Painting,,crayon and pencil,Fine Arts,14.25,19.25,0.0,drawings and watercolors,Samuel Rosenberg,American,https://cmoa-collection-images.s3.amazonaws.com/thing/115131/1019529.jpg,74.35,https://cmoa-collection-images.s3.amazonaws.com/thing/115131/sizes/1019529-420.jpg,1487.0
Three Cats of Emperor Ming Huang,c. 1400,Jade,Decorative Arts and Design,3.875,1.875,3.875,sculpture,unknown Chinese,Chinese,https://cmoa-collection-images.s3.amazonaws.com/thing/5617/CMA-62-15-5.jpg,1.0,https://cmoa-collection-images.s3.amazonaws.com/thing/5617/sizes/CMA-62-15-5-420.jpg,11.0
